comment,compound,positive,negative,neutral,label
Kembali ke setelan awal,0.4588,0.5,0.0,0.5,positive
aduh main kaya ginibisa babak belur kalau lawan thailand atau vietnam,0.25,0.455,0.318,0.227,positive
Bener benar lucu sih,0.9001,0.917,0.0,0.083,positive
Alhamdulillah indonesia menang semoga bisa juara bravo indra safri pelatih ini lebih bagus daripada sty atau petrik maju terus coach,0.9682,0.571,0.0,0.429,positive
Tenang strategi si Sapri masih di simpen buat sea games selanjut nya Karna sea games tahun ini hanya untuk uji coba,0.8402,0.394,0.121,0.485,positive
Mainnya tarkam banget tertawa,0.8402,0.8,0.0,0.2,positive
ingin ketawa takut dosa,0.25,0.538,0.385,0.077,positive
Tohir Arya Bangga Melihat ini karena misi mereka sukses,0.8402,0.571,0.19,0.238,positive
Mantap Myanmar,0.7906,0.857,0.0,0.143,positive
Towel bahagia,0.7184,0.833,0.0,0.167,positive
Harusnya raven di msinkan dari awal pertandungan sampai akhir,0.25,0.375,0.25,0.375,positive
Mainya enakan dilihat pas zaman STY,0.6124,0.444,0.0,0.556,positive
Harusnya komposisi pas lawan pilipina juga begini,0.6124,0.5,0.167,0.333,positive
Toel mana toel mana pengamat sudah pada mati apa kalean,0.25,0.391,0.348,0.261,positive
Federasinya pak Erick mau dibawa kemana Ini bukan Timnas Indonesia Ini Federasinya pak Erick,0.4588,0.273,0.182,0.545,positive
Indonesia setara Filipina dong,0.4588,0.5,0.0,0.5,positive
ALHAMDULILLAH SKRNG INDONESIA LEBIH BAIK KE STELAN KEGELAPAN,0.9186,0.706,0.0,0.294,positive
Saking hebat ini pelatih Pemain haus gol di cadang kan Tpi aneh nx s hoki,0.9517,0.625,0.125,0.25,positive
Anjay sudah berapa dekade tidak lihat selebrasi paling ikonik dari pelatih kita Baginda raja yang mulia coach indra safrie mss msc pelatih terbaik SE Asia tenggara dan pelatih SE umur hidup bagi indonesia terima kasih pak Erik hancur ini timnas saya,0.9517,0.474,0.289,0.237,positive
Sekarang fokus dukung Persib di ACL 2 semoga Erik Tohir tidak ikut campur,0.25,0.429,0.4,0.171,positive
Dulu di era sty enak di tonton Dari di ganti pelatih di tengah jalan sumpah sudah tidak nonton lagi timnas Mafia banyak banget,0.6124,0.47,0.379,0.152,positive
Squad ini sebenernya bagus sih lini depannya sayang nya mainya tidak bisa rapi kayak kamu 17,0.7906,0.486,0.27,0.243,positive
permainan asli indonesia sayangnya baru muncul di menit 90an keatas,0.7184,0.5,0.0,0.5,positive
Sejak STY diganti Klupertt sudah malas lihat Timnas,0.4588,0.444,0.278,0.278,positive
Semoga PSSI mempertahankan Coach Indra Safrie jadi pelatih Timnas Sea Games 2027,0.7184,0.375,0.0,0.625,positive
Maaf Mau bertanya Klw tadi Kiper Blok pakai Tangan kiri kira2 bgus Gak,0.875,0.538,0.154,0.308,positive
Skuad ini akan bagus mainnya kalau dilatih oleh pelatih sekelas STY atau Timur Kapadze,0.7184,0.35,0.1,0.55,positive
Hrsnya raven main dari awal bbk ke 2,0.25,0.429,0.286,0.286,positive
Pelatih sipaling sujud,0.6124,0.667,0.0,0.333,positive
Sesuai expextasi,0.6124,0.8,0.0,0.2,positive
Om syafri kayaknya sudah terlalu enak,0.4588,0.5,0.4,0.1,positive
Kenapa tidak kurniawan kasih kesempatan jadi pelatih u23,0.25,0.474,0.316,0.211,positive
Lebih seru nonton liga 1 tarkam,0.8402,0.727,0.0,0.273,positive
FEDERASI DAN PEMERINTAH ISINYA MAFIA YA GINI JADINYA,0.4588,0.45,0.3,0.25,positive
Untung kipernya namanya soe kalau namanya lucky myanmar bisa menang,0.5859,0.476,0.323,0.202,positive
Aku GK mau tahu Pokoknya pertahankan ETdan indra syapri Mereka telah mencatatkan sejarah,0.9186,0.571,0.143,0.286,positive
TERJUN BEBASSSSS,0.25,0.667,0.0,0.333,positive
Ganti pelatih sama Jurgen Klopp dan tambah lagi 23 naturalisasi grade A untuk posisi belakang Tengah depan,0.9432,0.576,0.121,0.303,positive
Timnas U23 tetap terbaik bagi kami,0.9325,0.812,0.0,0.188,positive
Kebanyakan iklan,0.4588,0.75,0.0,0.25,positive
Btw ini main tanpa skema iya,0.4588,0.375,0.0,0.625,positive
Lebih seru liga 1 wel towel dan kawan kamu ini tim impianmu sty mah lewat,0.7184,0.423,0.192,0.385,positive
permainan memang kaya era kegelapan oper salah muludapet bola tendang oper lambung ke depancontrol ancurga kelihatan pola permainany gimanaemang dapat lawannya juga sama sama hancur,0.9517,0.51,0.176,0.314,positive
Penurunan yang sangat2 drastis terimakasih Sapriterimakasih Arya sang Penyepong dan sang aktor utama ERICK THOHIRsemoga keluargamu bangga Rik,0.4588,0.375,0.3,0.325,positive
Timnas balik ke setelan awal tertawa,0.7184,0.562,0.25,0.188,positive
STY walaupun belum bisa angkat piala tapi setidaknya bisa masuk kualifikasi AFC dan bersaing di kualifukasi Pildunkita coba lihat kedepannya apakah bisa masuk kualifikasi AFC,0.8402,0.395,0.186,0.419,positive
Ya sutra lahanak2 juga sudah main habis2an Tim2 besar juga banyak yang tidak lolos di fase2 awal,0.7184,0.49,0.347,0.163,positive
Kangen STY,0.6124,0.8,0.0,0.2,positive
Dari bangun jatuhsemoga hasilnya nanti baik jugaAyo federasisuporter dukung terus perkembangan bola kita,0.7184,0.444,0.259,0.296,positive
Respect Sang maha raha maestro lord indra kafir menunjukkan kelasnya,0.6249,0.424,0.209,0.366,positive
menang telak tapi kalah tidak ada hubunganya megang saham inter bisa jadi ketua federasi yang baik tertawa,0.6124,0.481,0.389,0.13,positive
Untung targetnya perak,0.7184,0.857,0.0,0.143,positive
SELAMAT JALAN PSSI SEMOGA TENANG DISANA,0.9325,0.75,0.0,0.25,positive
Apakah SIT0wel senang melihat hasil ini,0.9432,0.824,0.0,0.176,positive
Hoki caraka masih dpake,0.6124,0.571,0.0,0.429,positive
sudah terbiasa lihat timnas gacor lihat maennya skrng ampun jauh banget dari espektasi lebih menarik nonton liga satu sama persib,0.9776,0.673,0.173,0.154,positive
NAH BEGINI BARU KESUKAAN PARA PENGURUS PSSI KANN HEHEHE,0.6808,0.455,0.221,0.325,positive
Tetap lihat sepak bola eropa,0.6124,0.571,0.286,0.143,positive
Target tercapai yang penting dapur sapri tukimin ngebul sumardji hokky bisa jalan2 ke Thailand Bagi mereka persetan sepakbola Indonesia,0.6124,0.344,0.188,0.469,positive
Heran kok PSSI masih percaya sama indra sjafri,0.9186,0.706,0.0,0.294,positive
Indonesia tanpa campur tangan sty hanya serasa main tarkammm,0.7906,0.55,0.2,0.25,positive
Sang juara bertahanyg target nya perak,0.25,0.286,0.0,0.714,positive
Pensiun jadi pelatih untuk timnas,0.25,0.5,0.333,0.167,positive
gol myanmar lahir dari kebegoan kadek arel offside trap kok ngantung 1,0.4019,0.376,0.296,0.329,positive
Lho timnas main iya,0.4588,0.5,0.0,0.5,positive
Flashback jaman Evan dimas u19 ges menurut kalian apakah strategi pelatih atau memang para pemain yang jago tiki Taka,0.8402,0.467,0.289,0.244,positive
Pelatih Sapri taktik tarkam,0.6124,0.571,0.0,0.429,positive
Alhamdulillah prediksi Indonesia kalahakhir nya ke nyataan,0.9001,0.667,0.0,0.333,positive
Semenjak era STY berakhir nonton bola Timnas kaya lihat liga tarkam liga 3,0.7906,0.412,0.0,0.588,positive
Bingung lihat permainannya,0.6124,0.667,0.0,0.333,positive
Alhamdulillahmalaysia ke final Indonesia underdog dan penakut,0.6124,0.4,0.0,0.6,positive
Punya pelatih berkualitas Ganti Pk kumis Hadehhhh,0.9584,0.85,0.0,0.15,positive
Dari pada lihat Indonesia main lebih enak lihat timur leste,0.9001,0.633,0.267,0.1,positive
Para petinggi pssi senang lihat hoky main di banding raven,0.9682,0.8,0.0,0.2,positive
Pelatih begini masih di pertahanin kocak,0.25,0.462,0.385,0.154,positive
Semifinalis piala Asia jadi ayam sayur,0.25,0.286,0.0,0.714,positive
Hadaahhh PSSI sudah tahu pelatih gagal dipake saja,0.6124,0.52,0.36,0.12,positive
Kontrol bola kaya ngontrol bola pingpong,0.4588,0.375,0.0,0.625,positive
Dulu di tangan sty permainan enak skema bagus La sekarang balik lagi ke setelan pabrik Permianan semarawut,0.4588,0.355,0.258,0.387,positive
Enak jaman sty kan,0.6124,0.545,0.273,0.182,positive
Level Timnas sangat jauh turun drastis,0.7184,0.611,0.278,0.111,positive
Mempertahankan medali emas Sea Games saja tidak mampu apalagi bertahan di 4 besar semifinalis Piala Asia U23,0.8402,0.474,0.263,0.263,positive
Gak tahu mau ngomng apa lagi tu pelatih bolak balik dipecat tapi dipake terus macam tidak ada pelatih lain di negara ini,0.25,0.407,0.39,0.203,positive
saya bingung kenapa indta sjafri masih saja jadi oelatih timnas ydah tahu pelatih anyep masih aje di paki,0.4588,0.344,0.25,0.406,positive
Lihat Thailand Singapur Malaysia Vietnam kasih stadion dan rumput bagus tapi kenapah indonesia main ko di stadion kabupaten why apa memang sudah GK ada taring pak Erik sehingga diinjaknya sama Thai,0.9776,0.538,0.169,0.292,positive
Karma itu nyata,0.4588,0.556,0.333,0.111,positive
Giliran laga hidup mati main mati2an giliran lawan filipina main boro2 ngotot kaya begini padahal laga awal itu paling krusiall,0.9638,0.625,0.208,0.167,positive
PSSI SUKSES BESAR DENGAN PROYEK NYA,0.875,0.692,0.0,0.308,positive
Ivar jenner main konyol cuma pandai main bola geser kebelakang Pantas cadangan senior pantas juga main cadangan di klub kualitasnya bgtu,0.9001,0.553,0.255,0.191,positive
Sepakbola sudah bagus pelatih diganti,0.9001,0.846,0.0,0.154,positive
Ketika timnas burukmedsos adem iya aneh memang,0.9001,0.667,0.0,0.333,positive
2023 medali emas 2025 ampas,0.25,0.417,0.333,0.25,positive
KLO GK undur diri brarti memang sapri GK tahu maluuu squad mewah saja masih ampas,0.25,0.333,0.333,0.333,positive
Mau nya pssi,0.7906,0.75,0.0,0.25,positive
Lokal mana bisa di andalkan towel bangga pastinya dengan hasil ini,0.8402,0.471,0.0,0.529,positive
Sudah tahu pelatih gagal masih saja dipake indra Japri,0.6124,0.5,0.346,0.154,positive
Mau ke piala duniajd runner up terbaik saja tidak mampu Mimpi terus Indonesia emashahaha,0.8402,0.5,0.278,0.222,positive
bagusan tarkam mainya maaf,0.7184,0.75,0.0,0.25,positive
Tamat lah sudah aL kisah kami,0.8402,0.667,0.0,0.333,positive
MAKANYA SAYA MALAS NONTON VISION APALAGI MAU LANGGANAN IKLANNYA ITU LO SEGEDE GABAN DAN LAMAAAA NEBENGNYA BENER BENER GAK BENER,0.9325,0.521,0.25,0.229,positive
SYT tetap yang terbaik,0.6124,0.588,0.353,0.059,positive
Malu maluin lawan sekelas Myanmar saja susah nyetak goll miris padahal sudah ada sisi terang sepak bola kita berkembang eh bahkan di hancur dengan sekejap olen orang aneh sudah tidak perlu lihat timnas lagi tidak pernah ada kemajuan ini sepak bola lebih baik suport badminton saja yang sudah banyak prestasi nya,0.25,0.413,0.373,0.214,positive
erick kmren ketolong sty eh sty bahkan jadi kambing hitam buat pansos naek jabatan saja sudah mentri BUMN mentri menpora wkwkwk awalnya di agung2kan erick bagus taunya cuma manis di depan saja pas sudah capai tujuannya di ancurin lagi,0.8402,0.41,0.301,0.289,positive
sudah paling benar itu kembalikan sty paling tdak biarkan dia sikat tu kelompok umur kalau ingin lihat pondasi timnas bagus dulu kbiasaan negara kita tiap ada hal yang mulai bagus bahkan disingkirkan,0.8402,0.443,0.3,0.257,positive
karma untuk federasi,0.6124,0.667,0.0,0.333,positive
tertawa sudah tidak minat nonton walau menang,0.9001,0.645,0.323,0.032,positive
Mauro lebih cocok jadi artis ftv saja Gak GG jadi pemain bola,0.7865,0.585,0.277,0.138,positive
Menang dipuji kalah dicaci Kasiannya timnas ku punya penggemar mental kerupuk,0.6124,0.409,0.227,0.364,positive
Doa erik terkabul gaes Geruduk kantor nya Yoook sadisss buat hancur timnas,0.4588,0.35,0.2,0.45,positive
Sapriiiiiii Waktumu sudah Habiss,0.6124,0.571,0.0,0.429,positive
hoi anak2 BERFIKIR LUASLAH JGN KEPALA BATU APAPUN BISA TERJADI DLM OLAHRAGA itu di cabor BADMINTON SEAGAMES wr60an dunia dari Indonesia zaki ubaidillah bisa mengalahkan kandidat emas mantan juara dunia dari Singapura Loh kean Yew wr10 dunia APAPUN BISA TERJADI BERFIKIR LUAS JANGAN KEPALA BATU,0.234,0.332,0.297,0.372,positive
Tungguin banyak bicara towel Ada yang tahu towel dimana,0.8402,0.56,0.24,0.2,positive
Ganti pelatihPSSI di ganti juga,0.8402,0.727,0.0,0.273,positive
Hidup malaysia,0.4588,0.75,0.0,0.25,positive
towel pasti sangat hepi lihat ini kasian para pemain menjadi korban ambisi federasi yang kebablasan ocehan para sok2an pengamat macam towel kangen lihat permainan indah timnas tahun lalu,0.9584,0.544,0.304,0.152,positive
Slmt msih ada keberuntungan,0.9001,0.833,0.0,0.167,positive
Emang ada yang peduli dengan timnas,0.6124,0.526,0.316,0.158,positive
Selamat iya untuk Pak Erik Tohir Arya sinulingga,0.4588,0.375,0.25,0.375,positive
Walaupun coach IS pernah bawa u23 juara Sea games tapi tidak sebanding dengan Coach STY bawa u23 Semi Final Piala Asia u23 bahkan sampai memulangkan negaranya sendiri demi Timnas Indonesia,0.7184,0.36,0.2,0.44,positive
Erik Tohir jadi ketum PSSI buat menutupi kasus korupsinya bersama sama Jokowi Luhut Bahlil Zulhas dan lain-lain,0.7906,0.429,0.143,0.429,positive
Sapi pelatih timnas seumur hidup,0.4588,0.538,0.308,0.154,positive
Pelatih kucluk,0.6124,0.8,0.0,0.2,positive
Kutukan untuk emosi PSSI,0.6124,0.571,0.0,0.429,positive
Timnas main kaya tarkam Mau menang mau kalah Bodooo amaaat,0.9638,0.719,0.156,0.125,positive
SELAMAT DATANG KE DUNIA KEGELAPAN,0.4588,0.533,0.333,0.133,positive
Sapri buat malu Indonesia diasia tenggara,0.6124,0.556,0.0,0.444,positive
Pri Sapri katanya punya strategi yang disimpan mana Lucu permainannya pancet gitu2 ajah Butuh gol banyak bahkan jens raven dicadangin Lucu permainan mentok2 begitu ajah,0.7184,0.392,0.275,0.333,positive
Gini begini saja terus GK ada kemajuan dari 15 tahun lalu sampai sujud pelatih nya padahal cuma ngimbangin myanmar sudah punya cucu lah nanti aku baru mulai maju sepakbola undonesia,0.9186,0.46,0.27,0.27,positive
Pabak presiden tolong lah kalau memang benar cinta sepak bola ganti semua angota pssi dan ketua umum PSSI dan Arya kalau mau sepak bola Indonesia maju,0.9584,0.525,0.262,0.213,positive
Gak perlu sujud sujud biasa saja,0.25,0.462,0.308,0.231,positive
ET pasti senang dengan pilihan iya,0.9584,0.842,0.0,0.158,positive
Emas di 2023 itu kemungkinan ada campur tangan STY,0.875,0.591,0.227,0.182,positive
Dengan skuad ini kalau pelatihnya Stysudah dibabat habis ini lawan lanwannya,0.6124,0.375,0.125,0.5,positive
Towel Towel senang melihat ini produk lokal semua,0.9001,0.636,0.182,0.182,positive
Gk ada bagus2nya permainan timnas kita,0.7184,0.5,0.0,0.5,positive
Anjir masih ada hokky,0.7906,0.778,0.0,0.222,positive
lebih pantas Persib ajh bawa ke seagameera kegelapan timnas di mulai kembalikocak,0.7184,0.5,0.0,0.5,positive
Timnas botlop minta di sofwer ulang,0.4588,0.375,0.0,0.625,positive
Curiga Hoky pemain titipan mainnya Jelek tapi selalu di panggil timnas Berhentikan Sapri sekarang dalam segala sekema timnas Sapri sudah habis sudah waktunya diganti,0.7184,0.391,0.261,0.348,positive
Katanya persiapan nya matang Katanya siap mental Katanya punya strategi Kok Maennya kayak tidak pernah latihan yaa Atau memang kualitas nya begitu Aku lihat babak pertama kok begitu amat maennya,0.8402,0.443,0.343,0.214,positive
Ganti Sapri,0.6124,0.8,0.0,0.2,positive
Franki missa itu sangat tidak layak berada di timnas,0.6124,0.5,0.346,0.154,positive
pssi akhirnya berhasil mengembalikan timnas ke masa jaya nya jadi sampah wkwkwk,0.875,0.556,0.185,0.259,positive
opo pri sapri gol tidak bermutu,0.25,0.471,0.353,0.176,positive
KEBANYAKAN ROTASI LO SAPRI,0.4588,0.5,0.0,0.5,positive
Payah pelatih nya Sama phllipina saja keok,0.25,0.444,0.389,0.167,positive
Mending nonton Persib,0.4588,0.6,0.0,0.4,positive
Tarkam banget bjirrr,0.25,0.5,0.0,0.5,positive
Mau sampai kiamatpun kalau permainan kaya begini tidak bakal juara apapun Mana kipernya tidak jelas Pelatih lebih oonpssi memang hebat kalau soal nurunin level timnas,0.7184,0.439,0.351,0.211,positive
pelatih wajib mundur,0.25,0.5,0.375,0.125,positive
Ngabisin uang ongkos saja makan kuat latih anak2 tidak becus kalau kamu masih punya malu silahkan mundur semua Tiada arti kamu orang duduk di kursi PSSI,0.7906,0.473,0.291,0.236,positive
Yg saya heran kenapa pak kumis ini selalu di pilih jadi pelatih timnas,0.6124,0.423,0.269,0.308,positive
Malu,0.4588,1.0,0.0,0.0,positive
Buat malu indonesia itu Indra Syafri Dya fikir sama kualitas tim lawan yang dulu sama yang sekarang Kualitas ok pemain hancur dengan taktik kampung,0.6124,0.462,0.369,0.169,positive
Sapri tidak ada bedax dengan KORUPTOR Sama2 GAK PUNYA MALU Sadarlah Sapri Skelas Klub Liga 3 saja GAK ADA YG MINAT pekerjakan dirimu Pun jangan kamu anggap dirimu MAMPU LOLOSKAN timnas ke Olimpiade LA 2028 BERHENTILAH ngeHALU,0.8646,0.384,0.295,0.321,positive
Belakang tengah belakang lagiumpan lambungdri dulu begitu wae pola permainannyakpan majunya,0.7906,0.438,0.0,0.562,positive
Tony Firmansyah di tarik keluar dibabak kedua Hahaha padahaL lini tengah butuh dia tapi pelatih lebih suka nomor 7 zanadin,0.8625,0.517,0.294,0.189,positive
Welcome to stelan pabrik,0.7184,0.625,0.0,0.375,positive
Ini indra siapa sih,0.25,0.4,0.0,0.6,positive
U22 gagal pelatih nya pasti tetap adem ayem,0.7906,0.571,0.238,0.19,positive
Capek bnget liatnyamaen kaya tarkam,0.8402,0.727,0.0,0.273,positive
Tetap semangat garuda muda,0.7906,0.692,0.231,0.077,positive
0802 reflek bilang sedang apa komentator nya tertawa,0.4588,0.375,0.25,0.375,positive
Setuju banget kalau STY kembali ke Indonesia,0.7184,0.538,0.154,0.308,positive
Rinduuuu banget masa Sty Semoga Allah mudahkan dan Allah kasih hidayah Taufik untuk Sty dan pemain diaspora lainnya Aamiin,0.9517,0.541,0.108,0.351,positive
KITA SEMUA RINDU LIHAT LINGKARAN DITENGAH LAPANGAN LAGU TANAH AIRKUKAMI RINDU KAMI RINDU DENGAR NYANYIAN ITUSKRG SUDAH TDAK TERLIHAT LAGITAK TERDENGAR LAGISEDIHJGN SAMPAI RANKING FIFA MENURUN,0.975,0.6,0.145,0.255,positive
Pak presiden bantu rakyat mu jangan biarkan pssi di hancurkan erikuot aryauot,0.7184,0.455,0.182,0.364,positive
ayo pak president katanya timnas ingin masuk pildun tolong di rombak seluru ketum pssi dan jajaranyaklau mau timnas maju lagi,0.6124,0.366,0.317,0.317,positive
SANGAT SETUJUUUU,0.6124,0.8,0.0,0.2,positive
Se7 buangetinsya Allah timnas garuda kembali terbang tinggi,0.9001,0.625,0.0,0.375,positive
Sangat setuju,0.875,1.0,0.0,0.0,positive
Y Sangat setuju kembalikan STY melatih timnas Indonesia,0.875,0.643,0.0,0.357,positive
Firtual gif sudah tahu bisnisnya indosiar Ngapain kiri kirim firtual,0.8402,0.545,0.182,0.273,positive
sangat s7,0.6124,0.8,0.0,0.2,positive
Berantas para mafiabaru maju indonesia,0.4588,0.429,0.0,0.571,positive
Sangat setuju sty kembali,0.875,0.818,0.0,0.182,positive
mereka benae benar melakukan keputusan besar tapi keputusan besar untuk kalah dan ambruk,0.9186,0.575,0.275,0.15,positive
Pssi minta di silaturohmi berjamaah,0.4588,0.429,0.0,0.571,positive
STY SELALU DIHATI KEMBALIKAN STY KE TIMNAS,0.6124,0.4,0.0,0.6,positive
Selesai aku berhayal tentang timnas,0.7906,0.8,0.0,0.2,positive
Setuju,0.7184,1.0,0.0,0.0,positive
semua keberhasilan timnas ada di sty,0.25,0.385,0.308,0.308,positive
Kembalikan STY harga mati,0.875,0.818,0.0,0.182,positive
Sebelum sty kembali latih timnaskosongkan stadion kalau timnas main,0.7184,0.467,0.133,0.4,positive
Erik tohir tolong itu urusin para operator super leage juga komisi disiplin mana keadilan buat para team superleage kita tahu semua itu para operator super leage juga komisi disiplin bagaimana kelakuannya siapa yang di untungkan siapa yang selalu dirugikan,0.9682,0.532,0.277,0.191,positive
Intinya kroni2 cair ngak peduli dengan kehancuran timnas,0.6124,0.385,0.154,0.462,positive
Gak ada Otak Federasi PSSI harus revolusi Total Kasian masa depan para Pemain,0.25,0.444,0.389,0.167,positive
Tolong apa prasiden selamat kan timnas kita banyak Mapia bola di PSSI ezxo di pecat ajah,0.6124,0.4,0.286,0.314,positive
Setuju kembalikan sty,0.7184,0.714,0.0,0.286,positive
selamat datang STY,0.25,0.5,0.417,0.083,positive
itu makan mau mengharumkan negara tapi di kepentingan pribadi katanya nkri harga mati mana buktinya,0.9682,0.639,0.139,0.222,positive
Dalam pengurusan PSSI selama ET Arya Sumringah dan IS bercokol selama itu pula Timnas Garuda akan semakin NYUNGSEP,0.9325,0.5,0.094,0.406,positive
Timnas gonta ganti kepelatihanbukan nya makin maju makin terjun bebas ke dasar jurang,0.7184,0.48,0.2,0.32,positive
Memang TONG KOSONG Arya itu penuh intrik dan politk,0.3109,0.421,0.368,0.211,positive
Pokok sudah bisa di baca jelas kalau indonesia klh pasti ada mafia di dlmnya Utk novarianto kalau di ajak kerjasama oleh mafia tidak mau menanggung akibatnya pasti di musuhi seperti sty Jgn takut pak nova ktn Rakyat bersama nova,0.9584,0.489,0.293,0.217,positive
Solusi bawa paling STY dan tendang arya,0.25,0.429,0.286,0.286,positive
Jaman sty nonton bola semangat dan seru sampai emak pasukan dapur pun suka nonton bola timnas era sekarang mau kalah bodo amat,0.7184,0.453,0.375,0.172,positive
Salut Ama pak Iwan di suru mundur saat mencalonkan kepala daera beliau dengan lapang dada langsung mundur,0.8402,0.348,0.0,0.652,positive
tidak mungkin kalau exco bermain sendiri pasti ada permainan dengan pelatih atau dengan perangkat pengadil lapanganitu pasti,0.6124,0.425,0.35,0.225,positive
Hanya ada 2 opsi kembalikan STY atau kosongkan stadion,0.25,0.333,0.267,0.4,positive
Semoga sehat selalu iya bang agar bisa terus memberikan polapola terbaru setiap harinya salamPulau 777,0.7906,0.385,0.154,0.462,positive
Moga ET mimpin PSSI berlanjut biar makin jatuh prestasi Gimana RI 1 kok dibiarin,0.7906,0.5,0.0,0.5,positive
ORA perlu banyak bicaraOot Erik Arya masalah sudah jelas sebab akibatkena karma,0.3109,0.489,0.395,0.115,positive
Pantas saja pelatih ternama tidak mau melatih timnas kita,0.25,0.462,0.385,0.154,positive
Intinya kalau mau timnas kita sukses rombak PSSI Erik Tohir dan konco2nya out,0.4588,0.37,0.333,0.296,positive
Sapri raih mendali seagames tahun lalu perlu dipertanyakan Melawan Philipina sama Myanmar saja terseok seok bagaimana bisa dapat juara,0.9186,0.5,0.118,0.382,positive
Sama saja PSSI dan PAMkalau oknumnya masih doyan Judi Bola Kalau Memang benar sampai hati iya,0.9186,0.545,0.182,0.273,positive
Udah langsung saja Iwan bule JD ketua PSSI Orang nya tulus dan jujur,0.9001,0.519,0.148,0.333,positive
waduh sudah kena virus judi ini gara2x timnas di latih mantan judol sij,0.6124,0.429,0.286,0.286,positive
Sty is the best,0.6369,0.583,0.0,0.417,positive
Mana itu komentar tuyuldg materi pemaiin berkualutas siapapun pelatihnya akan sukses nyata iya Wk tertawa,0.9325,0.517,0.103,0.379,positive
STY paling tepat pelatih timnas lndonesia,0.6124,0.444,0.0,0.556,positive
klepet tu bukan nama besar brayy,0.25,0.385,0.308,0.308,positive
Pak presiden ambil tindakan PSSI sudah hancur di bawah PK ketum Erik Tohir,0.25,0.4,0.333,0.267,positive
Kok Erik Tohir itu kok senang banget alasangak mau mendengar suara rakyat,0.9001,0.567,0.233,0.2,positive
benar kata rocky F setiap timnas kalah para exco pasti dapat uang tapi kalau timnas menang para exco tidak dapat uang,0.8402,0.5,0.312,0.188,positive
Klw mau bagus tmns indopct Erik dn antek nya gnti ratu tisa dn msukan sty Bru mntp,0.6124,0.375,0.25,0.375,positive
Erik kamu mundur saja STY HARGA MATI,0.5371,0.488,0.373,0.14,positive
Pak presiden tolong copot Erik ini bnyak politik,0.6124,0.526,0.316,0.158,positive
Orang orang yang merusak PSSI singkirkan sudah dikasih pelatih bagus bahkan diganti tidak genah Indonesia iya Indonesia pakai diganti pelatih Eropa,0.7906,0.457,0.261,0.283,positive
Iya Ya Ya Yg ngak bisa move on dari STY,0.7906,0.476,0.19,0.333,positive
Gw orang awam tidak ada pelatih seperti sty Sty itu bener2 di siplin latihan nya terlambat 3 minta dalam latihan tetap tidak boleh main biar itu pemain bagus juga itu nama nya baru pelatih di siplin benar2,0.25,0.412,0.388,0.2,positive
PSSI bukan punya Erik tohir cs PSSI punya Rakyat Indonesia selama ini Rakyat sudah diam di biarkan Erik tohir tambah semaunya,0.7906,0.455,0.273,0.273,positive
Tetap indra Sjafri pelatih terbaik di liga tarkam dan tidak tergantikan,0.8402,0.519,0.222,0.259,positive
Mundurlah kmu ericksdh dk pantas jadi ketum,0.4588,0.444,0.0,0.556,positive
Klo boleh jujur lebih baik kehilangan erik tohir daripada kehilangan pelatih seperti sty,0.25,0.474,0.421,0.105,positive
Gaya bicaranya erik tohir ini orang dok tidak mau di kasih tahu Sombong,0.7184,0.487,0.359,0.154,positive
Betulkan esco dan PSSI terlibat judi bola hore sty tidak bisa atur oleh esco dan PSSI pltih eropa bisa atur maka pltih eropa pilihannya ngotot banget,0.6124,0.34,0.234,0.426,positive
Yaaa begini kalau tIm sebesar Timnas dipegang orangorang munafikbohonglambat Laun kehancuran total pasti terjadi,0.25,0.37,0.333,0.296,positive
Langkah pertama out orang2 federasipssi mulai ET sampai orang2 terdekatnya yang numpang dan merasa sok penting di kursi empuk federasi,0.936,0.549,0.203,0.248,positive
ganti pengurus PSSI,0.8402,0.889,0.0,0.111,positive
Aq sudah usul pada komen kalau komen ini tidak bisa menyuarakan sebagai suara atau sebagai kritik sudah tutup saja sebagai penggemar tim nas ind Fanatik tolong yaaa Bapak Presiden Pak Prabowo PSSI sudah hancur segera Pak Di benahi ganti semua Ketum PSSI sampai pengurus exco sampai anggota ganti total tolong Bapak Presiden sekali lagi mencari Ketum PSSI seperti Pak Purboyo segera Pak Segera,0.7184,0.428,0.39,0.182,positive
Kebayangkan banyak bicara loo Erik Thohir Lebih baik loo mundur Ajee secara terhormat Dasar egoissssssss,0.7184,0.4,0.16,0.44,positive
PSSIMilik rakyat tapi tidak mau mendengarkan rakyat ANEH Apa sudah dibeli sama ET,0.8941,0.537,0.272,0.191,positive
Setuju sekali Erick out,0.6124,0.556,0.222,0.222,positive
sudah pssi pulngkan sty esko pssi bubarkan aza,0.6124,0.364,0.0,0.636,positive
Sty kembali Ratu tisa ketua pssi,0.4588,0.375,0.0,0.625,positive
PSSI kebanyakan drama terutama pak ketum,0.4588,0.5,0.312,0.188,positive
Patrik klupret terkenal nya main bola bukan pelatih bola,0.875,0.591,0.182,0.227,positive
MAFIA DAPAT DUWIT LANGSUNG MAEN JUDI KASINO,0.6124,0.55,0.3,0.15,positive
Lebih baik STY kembali fondasinya sudah ada tinggal jalan memang PSSI dan Exco nya biang kegagalan mafia tukang judi,0.9186,0.524,0.214,0.262,positive
ErikTowel dan Justin adalah dalang kehancuran Timnas,0.6124,0.4,0.0,0.6,positive
